REG:	3.419	3.419	3.419	3.419 	3.419
ADD:	4.526	5.155	5.271	5.503	5.967
SUB:	4.526	5.155	5.271	5.503	5.967
MUL: 	5.361	9.711 	9.052 	13.911	18.976
COMP: 	5.361	6.820	6.937	7.171 	7.639
MUX2x1:	5.361 	5.361 	5.361 	5.361	5.361
SHR:	5.361	6.253	6.842	7.044	7.708
SHL:	5.361	6.253	6.842	7.044	8.015
DIV: 	5.361 	18.104 	35.511 	81.609	220.180
MOD:	5.361	19.867	38.268	85.680	224.429
INC:	5.361 	5.919 	6.620 	7.088	8.024
DEC: 	5.361 	5.919 	6.618	7.086	8.022

